Recipe Name,Ingredients,Quantity,Instructions,Cuisine,Diet,Meal Type,Cleaned_Ingredients
Shorshe Ilish,"hilsa fish, mustard, turmeric, salt, mustard oil","2 pieces hilsa fish, 1 tbsp mustard, 1 tsp turmeric, 1 tsp salt, 2 tbsp mustard oil","Marinate fish, cook with mustard paste in mustard oil.",bengali,non-vegetarian,lunch,hilsa_fish mustard turmeric salt mustard_oil
Aloo Posto,"potato, poppy seeds, green chili, mustard oil, salt","4 potatoes, 1 tsp poppy seeds, 2 green chilies, 2 tbsp mustard oil, 1 tsp salt","Boil potatoes, cook with posto paste and mustard oil.",bengali,vegetarian,lunch,potato poppy_seed green_chili mustard_oil salt
Chingri Malai Curry,"prawn, coconut milk, onion, garlic, ginger","500g prawn, 200 ml coconut milk, 1 onion, 3 cloves garlic, 1 inch ginger",Cook prawn in coconut milk with spices.,bengali,non-vegetarian,dinner,prawn coconut_milk onion garlic ginger
Palak Paneer,"paneer, spinach, onion, garlic, garam masala","200g paneer, 300g spinach, 1 onion, 2 cloves garlic, 1 tsp garam masala","Boil spinach, blend and cook with paneer.",indian,vegetarian,lunch,paneer spinach onion garlic garam_masala
Butter Chicken,"chicken, tomato, cream, butter, spices","500g chicken, 2 tomatoes, 100 ml cream, 3 tbsp butter, 1 tsp garam masala",Cook marinated chicken in creamy tomato gravy.,indian,non-vegetarian,dinner,chicken tomato cream butter spice
Chole Bhature,"chickpeas, flour, yogurt, onion, tomato","200g chickpeas, 200g flour, 100g yogurt, 1 onion, 2 tomatoes",Boil chole and fry bhature.,indian,vegetarian,breakfast,chickpea flour yogurt onion tomato
Veg Hakka Noodles,"noodles, cabbage, carrot, capsicum, soy sauce","200g noodles, 100g cabbage, 1 carrot, 1 capsicum, 2 tbsp soy sauce",Stir fry vegetables and noodles with sauces.,chinese,vegan,lunch,noodle cabbage carrot capsicum soy_sauce
Chicken Manchurian,"chicken, soy sauce, garlic, ginger, chili sauce","300g chicken, 2 tbsp soy sauce, 3 cloves garlic, 1 inch ginger, 2 tbsp chili sauce","Fry chicken, toss in manchurian sauce.",chinese,non-vegetarian,dinner,chicken soy_sauce garlic ginger chili_sauce
Grilled Cheese Sandwich,"bread, cheese, butter","2 slices bread, 2 slices cheese, 1 tbsp butter","Butter bread, add cheese, grill till golden.",western,vegetarian,snack,bread cheese butter
Pancakes,"flour, eggs, milk, sugar, baking powder","200g flour, 2 eggs, 200ml milk, 2 tbsp sugar, 1 tsp baking powder",Mix and fry pancakes on a pan.,western,vegetarian,breakfast,flour egg milk sugar bake_powder
Beef Steak,"beef, salt, pepper, olive oil","200g beef, 1 tsp salt, 1 tsp pepper, 1 tbsp olive oil",Grill steak with seasoning.,western,non-vegetarian,dinner,beef salt pepper olive_oil
Miso Soup,"miso paste, tofu, seaweed, green onions","2 tbsp miso paste, 100g tofu, 1 sheet seaweed, 2 green onions",Simmer miso paste with water and add ingredients.,other,vegan,lunch,miso_paste tofu seaweed green_onion
Falafel Wrap,"chickpeas, flour, spices, pita bread","200g chickpeas, 100g flour, 1 tsp cumin, 4 pita bread",Fry falafel and wrap in pita with veggies.,other,vegan,snack,chickpea flour spice pita_bread
Caesar Salad,"romaine lettuce, croutons, Caesar dressing","100g romaine lettuce, 50g croutons, 2 tbsp Caesar dressing",Toss lettuce with dressing and croutons.,western,vegetarian,snack,romaine_lettuce crouton caesar_dress
Sushi,"sushi rice, nori, fish/vegetables, soy sauce","200g sushi rice, 5 sheets nori, 100g fish/vegetables, 2 tbsp soy sauce",Roll sushi with fillings and serve with soy sauce.,japanese,non-vegetarian,lunch,sushi_rice nori fish_vegetable soy_sauce
Ramen,"ramen noodles, broth, pork/vegetables, green onions","200g ramen noodles, 500ml broth, 150g pork/vegetables, 2 green onions",Cook noodles in broth with toppings.,japanese,non-vegetarian,dinner,raman_noodle broth pork_vegetable green_onion
Tacos,"taco shells, ground meat/beans, cheese, lettuce, salsa","4 taco shells, 200g ground meat/beans, 50g cheese, 50g lettuce, 2 tbsp salsa",Fill taco shells with ingredients and serve.,mexican,non-vegetarian,lunch,taco_shell ground_meat_bean cheese lettuce salsa
Guacamole,"avocado, lime, onion, cilantro, salt","2 avocados, 1 lime, 1 onion, 2 tbsp cilantro, 1 tsp salt",Mash avocado with ingredients and serve with chips.,mexican,vegan,snack,avocado lime onion cilantro salt
Paella,"rice, seafood/chicken, saffron, vegetables","200g rice, 300g seafood/chicken, 1 tsp saffron, 100g vegetables",Cook rice with saffron and seafood/chicken.,spanish,non-vegetarian,dinner,rice seafood_chicken saffron vegetable
Gazpacho,"tomatoes, cucumber, bell pepper, olive oil","3 tomatoes, 1 cucumber, 1 bell pepper, 2 tbsp olive oil",Blend vegetables and chill before serving.,spanish,vegan,appetizer,tomato cucumber capsicum olive_oil
