Recipe Name,Ingredients,Quantity,Instructions,Cuisine,Diet,Meal Type
Shorshe Ilish,"hilsa fish, mustard, turmeric, salt, mustard oil","2 pieces hilsa fish, 1 tbsp mustard, 1 tsp turmeric, 1 tsp salt, 2 tbsp mustard oil","Marinate fish, cook with mustard paste in mustard oil.",Bengali,Non-Vegetarian,Lunch
Aloo Posto,"potato, poppy seeds, green chili, mustard oil, salt","4 potatoes, 1 tsp poppy seeds, 2 green chilies, 2 tbsp mustard oil, 1 tsp salt","Boil potatoes, cook with posto paste and mustard oil.",Bengali,Vegetarian,Lunch
Chingri Malai Curry,"prawn, coconut milk, onion, garlic, ginger","500g prawn, 200 ml coconut milk, 1 onion, 3 cloves garlic, 1 inch ginger","Cook prawn in coconut milk with spices.",Bengali,Non-Vegetarian,Dinner
Palak Paneer,"paneer, spinach, onion, garlic, garam masala","200g paneer, 300g spinach, 1 onion, 2 cloves garlic, 1 tsp garam masala","Boil spinach, blend and cook with paneer.",Indian,Vegetarian,Lunch
Butter Chicken,"chicken, tomato, cream, butter, spices","500g chicken, 2 tomatoes, 100 ml cream, 3 tbsp butter, 1 tsp garam masala","Cook marinated chicken in creamy tomato gravy.",Indian,Non-Vegetarian,Dinner
Chole Bhature,"chickpeas, flour, yogurt, onion, tomato","200g chickpeas, 200g flour, 100g yogurt, 1 onion, 2 tomatoes","Boil chole and fry bhature.",Indian,Vegetarian,Breakfast
Veg Hakka Noodles,"noodles, cabbage, carrot, capsicum, soy sauce","200g noodles, 100g cabbage, 1 carrot, 1 capsicum, 2 tbsp soy sauce","Stir fry vegetables and noodles with sauces.",Chinese,Vegan,Lunch
Chicken Manchurian,"chicken, soy sauce, garlic, ginger, chili sauce","300g chicken, 2 tbsp soy sauce, 3 cloves garlic, 1 inch ginger, 2 tbsp chili sauce","Fry chicken, toss in manchurian sauce.",Chinese,Non-Vegetarian,Dinner
Grilled Cheese Sandwich,"bread, cheese, butter","2 slices bread, 2 slices cheese, 1 tbsp butter","Butter bread, add cheese, grill till golden.",Western,Vegetarian,Snack
Pancakes,"flour, eggs, milk, sugar, baking powder","200g flour, 2 eggs, 200ml milk, 2 tbsp sugar, 1 tsp baking powder","Mix and fry pancakes on a pan.",Western,Vegetarian,Breakfast
Beef Steak,"beef, salt, pepper, olive oil","200g beef, 1 tsp salt, 1 tsp pepper, 1 tbsp olive oil","Grill steak with seasoning.",Western,Non-Vegetarian,Dinner
Miso Soup,"miso paste, tofu, seaweed, green onions","2 tbsp miso paste, 100g tofu, 1 sheet seaweed, 2 green onions","Simmer miso paste with water and add ingredients.",Other,Vegan,Lunch
